x,y,z,date
1.67,0.11,1.23,2018-12-11 10:52:10.223070
0.48,0.65,0.29,2018-12-11 10:52:10.248862
0.32,1.01,0.34,2018-12-11 10:52:10.271326
0.05,1.12,0.41,2018-12-11 10:52:10.292636
0.07,1.05,0.17,2018-12-11 10:52:10.313967
0.04,0.84,0.04,2018-12-11 10:52:10.334558
0.0,0.77,0.14,2018-12-11 10:52:10.355214
0.05,0.75,0.17,2018-12-11 10:52:10.379877
0.07,0.86,0.07,2018-12-11 10:52:10.401541
0.03,0.87,0.01,2018-12-11 10:52:10.422578
0.05,0.91,0.04,2018-12-11 10:52:10.444060
0.06,0.94,0.09,2018-12-11 10:52:10.465182
0.06,0.96,0.09,2018-12-11 10:52:10.485652
0.06,0.97,0.11,2018-12-11 10:52:10.509609
0.06,1.0,0.1,2018-12-11 10:52:10.531325
0.04,1.0,0.09,2018-12-11 10:52:10.552632
0.07,1.01,0.07,2018-12-11 10:52:10.574083
0.07,1.06,0.02,2018-12-11 10:52:10.609050
0.08,1.07,0.02,2018-12-11 10:52:10.626899
0.11,1.0,0.01,2018-12-11 10:52:10.642129
0.15,1.03,0.02,2018-12-11 10:52:10.657588
0.18,0.94,0.04,2018-12-11 10:52:10.675950
0.21,0.97,0.05,2018-12-11 10:52:10.692034
0.28,0.94,0.06,2018-12-11 10:52:10.709664
0.31,0.87,0.12,2018-12-11 10:52:10.725003
0.35,0.7,0.11,2018-12-11 10:52:10.743564
0.4,0.64,0.2,2018-12-11 10:52:10.758866
0.68,0.44,0.38,2018-12-11 10:52:10.777241
1.4,0.35,0.45,2018-12-11 10:52:10.792510
2.46,0.05,0.69,2018-12-11 10:52:10.811157
2.44,0.13,0.46,2018-12-11 10:52:10.826492
1.1,0.67,0.13,2018-12-11 10:52:10.844884
0.87,0.73,1.09,2018-12-11 10:52:10.860179
2.85,0.57,2.04,2018-12-11 10:52:10.878554
2.98,1.71,1.42,2018-12-11 10:52:10.893839
3.57,0.45,0.44,2018-12-11 10:52:10.912327
3.55,1.81,1.42,2018-12-11 10:52:10.927871
2.38,0.66,0.72,2018-12-11 10:52:10.946218
0.94,0.52,0.25,2018-12-11 10:52:10.961514
0.62,0.96,0.02,2018-12-11 10:52:10.979903
0.4,0.92,0.16,2018-12-11 10:52:10.995072
0.02,0.98,0.16,2018-12-11 10:52:11.014289
0.27,0.91,0.1,2018-12-11 10:52:11.029542
0.3,0.85,0.01,2018-12-11 10:52:11.047963
0.22,0.86,0.1,2018-12-11 10:52:11.063075
0.15,0.79,0.14,2018-12-11 10:52:11.081707
0.1,0.78,0.08,2018-12-11 10:52:11.097138
0.08,0.81,0.09,2018-12-11 10:52:11.115514
0.11,0.83,0.02,2018-12-11 10:52:11.130827
0.12,0.93,0.03,2018-12-11 10:52:11.149380
0.11,0.94,0.01,2018-12-11 10:52:11.164532
0.05,0.97,0.05,2018-12-11 10:52:11.182965
0.01,0.98,0.12,2018-12-11 10:52:11.198247
0.0,0.97,0.1,2018-12-11 10:52:11.216602
