x,y,z,date
2.21,0.26,0.45,2018-12-11 10:52:18.406605
3.12,1.66,1.31,2018-12-11 10:52:18.428182
2.04,0.06,0.4,2018-12-11 10:52:18.449886
1.32,0.92,0.07,2018-12-11 10:52:18.471562
0.68,1.05,0.44,2018-12-11 10:52:18.493665
0.14,0.91,0.25,2018-12-11 10:52:18.515506
0.26,0.58,0.06,2018-12-11 10:52:18.537011
0.39,0.5,0.16,2018-12-11 10:52:18.558595
0.49,0.43,0.37,2018-12-11 10:52:18.580367
0.62,0.46,0.23,2018-12-11 10:52:18.602201
0.5,0.75,0.11,2018-12-11 10:52:18.624032
0.48,0.89,0.02,2018-12-11 10:52:18.645829
0.52,1.04,0.07,2018-12-11 10:52:18.667561
0.57,1.07,0.06,2018-12-11 10:52:18.688981
0.57,1.06,0.06,2018-12-11 10:52:18.710426
0.58,0.95,0.01,2018-12-11 10:52:18.732316
0.55,0.9,0.07,2018-12-11 10:52:18.754436
0.46,0.82,0.11,2018-12-11 10:52:18.776235
0.4,0.85,0.07,2018-12-11 10:52:18.798036
0.37,0.93,0.01,2018-12-11 10:52:18.819811
0.36,0.96,0.0,2018-12-11 10:52:18.841551
0.39,0.94,0.01,2018-12-11 10:52:18.862986
0.37,0.89,0.02,2018-12-11 10:52:18.885027
0.42,0.82,0.07,2018-12-11 10:52:18.906804
0.46,0.66,0.12,2018-12-11 10:52:18.928313
0.56,0.6,0.22,2018-12-11 10:52:18.949773
0.71,0.44,0.32,2018-12-11 10:52:18.971784
1.04,0.18,0.41,2018-12-11 10:52:18.994093
2.08,0.11,0.55,2018-12-11 10:52:19.015447
2.28,0.27,0.36,2018-12-11 10:52:19.037225
1.46,0.71,0.56,2018-12-11 10:52:19.058857
0.55,1.17,0.01,2018-12-11 10:52:19.080699
2.03,0.01,1.78,2018-12-11 10:52:19.102350
2.31,1.65,1.14,2018-12-11 10:52:19.124299
3.13,1.23,0.25,2018-12-11 10:52:19.146036
3.11,1.07,0.3,2018-12-11 10:52:19.167559
2.41,1.09,0.09,2018-12-11 10:52:19.189300
1.4,1.06,0.33,2018-12-11 10:52:19.211106
0.94,0.93,0.35,2018-12-11 10:52:19.233053
0.02,0.69,0.18,2018-12-11 10:52:19.260952
0.54,0.52,0.03,2018-12-11 10:52:19.283649
0.46,0.56,0.18,2018-12-11 10:52:19.305370
0.44,0.55,0.17,2018-12-11 10:52:19.326894
0.41,0.67,0.14,2018-12-11 10:52:19.348448
0.5,0.67,0.11,2018-12-11 10:52:19.369981
0.6,0.83,0.03,2018-12-11 10:52:19.391590
0.58,1.03,0.11,2018-12-11 10:52:19.413473
0.57,1.02,0.04,2018-12-11 10:52:19.435282
0.46,0.96,0.02,2018-12-11 10:52:19.456646
0.42,0.85,0.06,2018-12-11 10:52:19.478452
0.46,0.82,0.09,2018-12-11 10:52:19.500029
0.48,0.82,0.09,2018-12-11 10:52:19.521928
0.43,0.89,0.04,2018-12-11 10:52:19.544124
0.39,0.98,0.06,2018-12-11 10:52:19.565816
0.39,0.99,0.02,2018-12-11 10:52:19.587284
0.41,0.93,0.0,2018-12-11 10:52:19.608808
0.43,0.79,0.06,2018-12-11 10:52:19.630485
0.48,0.67,0.22,2018-12-11 10:52:19.651544
0.56,0.5,0.3,2018-12-11 10:52:19.672601
0.65,0.45,0.33,2018-12-11 10:52:19.696189
1.11,0.43,0.38,2018-12-11 10:52:19.718060
1.9,0.18,0.4,2018-12-11 10:52:19.739646
2.33,0.07,0.38,2018-12-11 10:52:19.761531
1.71,0.63,0.46,2018-12-11 10:52:19.783705
0.28,0.87,0.08,2018-12-11 10:52:19.806194
1.92,0.42,1.73,2018-12-11 10:52:19.827970
2.19,0.71,1.28,2018-12-11 10:52:19.849585
3.67,1.07,0.33,2018-12-11 10:52:19.873488
3.11,0.05,0.19,2018-12-11 10:52:19.895223
2.27,1.28,0.38,2018-12-11 10:52:19.916713
1.18,1.08,0.3,2018-12-11 10:52:19.938213
0.6,0.82,0.3,2018-12-11 10:52:19.959998
0.3,0.67,0.05,2018-12-11 10:52:19.981829
0.61,0.39,0.17,2018-12-11 10:52:20.004024
0.52,0.62,0.11,2018-12-11 10:52:20.025442
0.44,0.62,0.1,2018-12-11 10:52:20.046509
0.49,0.65,0.07,2018-12-11 10:52:20.068877
0.47,0.74,0.05,2018-12-11 10:52:20.090455
0.43,0.81,0.02,2018-12-11 10:52:20.112226
0.53,0.86,0.01,2018-12-11 10:52:20.135029
0.78,0.81,0.08,2018-12-11 10:52:20.156875
0.88,0.83,0.08,2018-12-11 10:52:20.178586
0.61,0.86,0.0,2018-12-11 10:52:20.200158
0.47,0.92,0.01,2018-12-11 10:52:20.222672
0.44,0.82,0.08,2018-12-11 10:52:20.244653
0.48,0.83,0.06,2018-12-11 10:52:20.266208
0.48,0.86,0.07,2018-12-11 10:52:20.287730
0.32,0.93,0.04,2018-12-11 10:52:20.309604
0.42,1.01,0.04,2018-12-11 10:52:20.331164
0.47,0.9,0.04,2018-12-11 10:52:20.353489
0.46,0.88,0.01,2018-12-11 10:52:20.375149
0.5,0.82,0.12,2018-12-11 10:52:20.396750
0.55,0.63,0.19,2018-12-11 10:52:20.418472
0.7,0.44,0.3,2018-12-11 10:52:20.439987
1.45,0.19,0.46,2018-12-11 10:52:20.461907
2.02,0.12,0.64,2018-12-11 10:52:20.483920
2.25,0.33,0.45,2018-12-11 10:52:20.505750
1.36,0.74,0.42,2018-12-11 10:52:20.528046
0.22,0.69,0.8,2018-12-11 10:52:20.549562
1.38,1.0,2.03,2018-12-11 10:52:20.571477
2.09,0.04,1.01,2018-12-11 10:52:20.593087
4.31,1.61,0.71,2018-12-11 10:52:20.614946
3.98,0.41,0.26,2018-12-11 10:52:20.636588
2.16,0.67,0.26,2018-12-11 10:52:20.658217
1.44,0.87,0.32,2018-12-11 10:52:20.679930
0.64,0.63,0.28,2018-12-11 10:52:20.701654
0.26,0.4,0.12,2018-12-11 10:52:20.723704
0.62,0.36,0.09,2018-12-11 10:52:20.745391
0.77,0.49,0.18,2018-12-11 10:52:20.774355
0.63,0.71,0.05,2018-12-11 10:52:20.795854
0.55,0.72,0.04,2018-12-11 10:52:20.817318
0.59,0.81,0.06,2018-12-11 10:52:20.839331
0.76,0.78,0.06,2018-12-11 10:52:20.860928
0.81,0.86,0.06,2018-12-11 10:52:20.882759
0.73,0.95,0.03,2018-12-11 10:52:20.904748
0.55,0.94,0.0,2018-12-11 10:52:20.926337
0.49,0.93,0.01,2018-12-11 10:52:20.948035
0.45,0.84,0.08,2018-12-11 10:52:20.969360
0.47,0.85,0.07,2018-12-11 10:52:20.991611
0.48,0.86,0.05,2018-12-11 10:52:21.013570
0.47,0.94,0.03,2018-12-11 10:52:21.035399
0.44,0.92,0.04,2018-12-11 10:52:21.057079
0.46,0.87,0.09,2018-12-11 10:52:21.078807
0.46,0.75,0.11,2018-12-11 10:52:21.100739
0.45,0.79,0.09,2018-12-11 10:52:21.122586
0.49,0.67,0.15,2018-12-11 10:52:21.144909
0.59,0.54,0.24,2018-12-11 10:52:21.166501
0.69,0.42,0.35,2018-12-11 10:52:21.188247
1.18,0.29,0.48,2018-12-11 10:52:21.209965
2.12,0.04,0.81,2018-12-11 10:52:21.231579
2.12,0.47,0.7,2018-12-11 10:52:21.253480
0.42,0.75,0.41,2018-12-11 10:52:21.275116
1.06,0.58,1.35,2018-12-11 10:52:21.296856
1.53,1.45,1.31,2018-12-11 10:52:21.318399
1.57,0.02,0.53,2018-12-11 10:52:21.339990
3.0,0.59,0.21,2018-12-11 10:52:21.361578
2.67,0.28,0.27,2018-12-11 10:52:21.383522
2.16,1.09,0.55,2018-12-11 10:52:21.405058
1.42,1.25,0.48,2018-12-11 10:52:21.426551
1.04,0.75,0.27,2018-12-11 10:52:21.448733
0.32,0.47,0.11,2018-12-11 10:52:21.470189
0.08,0.32,0.01,2018-12-11 10:52:21.491794
0.69,0.24,0.06,2018-12-11 10:52:21.513219
0.85,0.49,0.06,2018-12-11 10:52:21.535491
0.72,0.65,0.04,2018-12-11 10:52:21.557086
0.66,0.68,0.12,2018-12-11 10:52:21.578854
0.67,0.7,0.08,2018-12-11 10:52:21.600354
0.84,0.72,0.09,2018-12-11 10:52:21.621925
1.01,0.68,0.15,2018-12-11 10:52:21.643973
0.84,0.74,0.05,2018-12-11 10:52:21.665478
0.61,0.85,0.05,2018-12-11 10:52:21.687086
0.46,0.89,0.03,2018-12-11 10:52:21.708594
0.54,0.93,0.03,2018-12-11 10:52:21.730197
0.56,0.88,0.0,2018-12-11 10:52:21.751794
0.45,0.9,0.05,2018-12-11 10:52:21.773787
0.43,0.96,0.01,2018-12-11 10:52:21.795570
0.43,0.94,0.02,2018-12-11 10:52:21.817031
0.47,0.88,0.03,2018-12-11 10:52:21.838812
0.52,0.8,0.07,2018-12-11 10:52:21.860528
0.53,0.68,0.09,2018-12-11 10:52:21.882084
0.6,0.44,0.15,2018-12-11 10:52:21.903969
0.76,0.29,0.42,2018-12-11 10:52:21.925492
1.44,0.06,0.45,2018-12-11 10:52:21.947041
2.55,0.1,0.5,2018-12-11 10:52:21.968499
2.31,0.31,0.31,2018-12-11 10:52:21.989975
1.37,0.63,0.29,2018-12-11 10:52:22.011463
0.28,0.81,0.56,2018-12-11 10:52:22.033189
1.74,0.24,1.69,2018-12-11 10:52:22.055017
2.86,0.41,0.64,2018-12-11 10:52:22.076331
4.71,0.33,0.15,2018-12-11 10:52:22.098104
3.29,0.28,0.29,2018-12-11 10:52:22.120021
2.14,0.97,0.22,2018-12-11 10:52:22.141935
1.04,0.76,0.22,2018-12-11 10:52:22.163946
0.52,0.6,0.22,2018-12-11 10:52:22.185653
0.16,0.45,0.09,2018-12-11 10:52:22.207288
0.57,0.34,0.02,2018-12-11 10:52:22.229026
0.72,0.62,0.0,2018-12-11 10:52:22.252834
0.67,0.56,0.02,2018-12-11 10:52:22.279588
0.71,0.57,0.07,2018-12-11 10:52:22.301544
0.77,0.73,0.05,2018-12-11 10:52:22.323502
0.82,0.78,0.02,2018-12-11 10:52:22.346766
0.88,0.77,0.02,2018-12-11 10:52:22.368881
0.91,0.72,0.09,2018-12-11 10:52:22.390365
0.79,0.71,0.1,2018-12-11 10:52:22.412151
0.58,0.79,0.02,2018-12-11 10:52:22.434394
0.56,0.78,0.02,2018-12-11 10:52:22.455980
0.52,0.86,0.03,2018-12-11 10:52:22.477519
0.54,0.93,0.03,2018-12-11 10:52:22.499168
0.52,0.92,0.01,2018-12-11 10:52:22.520942
0.62,0.87,0.05,2018-12-11 10:52:22.542677
0.56,0.85,0.03,2018-12-11 10:52:22.564479
0.57,0.77,0.03,2018-12-11 10:52:22.585610
0.62,0.59,0.12,2018-12-11 10:52:22.608070
0.72,0.45,0.2,2018-12-11 10:52:22.629699
0.86,0.17,0.28,2018-12-11 10:52:22.650778
1.68,0.16,0.46,2018-12-11 10:52:22.673885
2.53,0.18,0.48,2018-12-11 10:52:22.695435
2.24,0.51,0.45,2018-12-11 10:52:22.716766
0.97,0.76,0.12,2018-12-11 10:52:22.739711
0.09,0.4,0.94,2018-12-11 10:52:22.760782
1.6,0.45,1.67,2018-12-11 10:52:22.781229
2.64,0.26,1.23,2018-12-11 10:52:22.801906
4.75,0.61,0.17,2018-12-11 10:52:22.823864
3.87,0.13,0.33,2018-12-11 10:52:22.845370
2.16,0.41,0.04,2018-12-11 10:52:22.867135
1.08,0.8,0.31,2018-12-11 10:52:22.888841
0.69,0.69,0.33,2018-12-11 10:52:22.910015
0.11,0.58,0.31,2018-12-11 10:52:22.932141
0.22,0.38,0.19,2018-12-11 10:52:22.953720
0.6,0.31,0.07,2018-12-11 10:52:22.975186
0.79,0.22,0.17,2018-12-11 10:52:22.996676
0.99,0.38,0.12,2018-12-11 10:52:23.018427
0.9,0.65,0.01,2018-12-11 10:52:23.039948
0.82,0.75,0.03,2018-12-11 10:52:23.061658
0.84,0.76,0.06,2018-12-11 10:52:23.083596
0.98,0.72,0.04,2018-12-11 10:52:23.105207
1.05,0.7,0.07,2018-12-11 10:52:23.126733
0.81,0.69,0.05,2018-12-11 10:52:23.148466
0.56,0.79,0.02,2018-12-11 10:52:23.170361
0.47,0.77,0.0,2018-12-11 10:52:23.191943
0.48,0.84,0.06,2018-12-11 10:52:23.214078
0.62,0.83,0.03,2018-12-11 10:52:23.235586
0.58,0.83,0.01,2018-12-11 10:52:23.257357
0.67,0.78,0.0,2018-12-11 10:52:23.279192
0.65,0.62,0.06,2018-12-11 10:52:23.301065
0.73,0.48,0.1,2018-12-11 10:52:23.322992
0.77,0.28,0.2,2018-12-11 10:52:23.345007
1.33,0.17,0.45,2018-12-11 10:52:23.366773
2.28,0.13,0.33,2018-12-11 10:52:23.388455
2.05,0.14,0.12,2018-12-11 10:52:23.409941
1.49,0.02,0.15,2018-12-11 10:52:23.431859
0.96,0.55,0.32,2018-12-11 10:52:23.453504
0.53,0.32,1.34,2018-12-11 10:52:23.475266
1.33,0.69,1.11,2018-12-11 10:52:23.497047
4.43,1.22,0.39,2018-12-11 10:52:23.518806
4.24,0.67,0.38,2018-12-11 10:52:23.540349
2.79,0.03,0.3,2018-12-11 10:52:23.562102
1.56,0.41,0.22,2018-12-11 10:52:23.584710
1.16,0.67,0.36,2018-12-11 10:52:23.606466
0.65,0.54,0.27,2018-12-11 10:52:23.628260
0.31,0.37,0.15,2018-12-11 10:52:23.649809
0.21,0.27,0.06,2018-12-11 10:52:23.670898
0.54,0.11,0.15,2018-12-11 10:52:23.693030
0.94,0.24,0.19,2018-12-11 10:52:23.715019
1.04,0.52,0.06,2018-12-11 10:52:23.736938
0.98,0.81,0.02,2018-12-11 10:52:23.764818
1.03,0.82,0.05,2018-12-11 10:52:23.785993
1.06,0.7,0.01,2018-12-11 10:52:23.807084
0.95,0.71,0.01,2018-12-11 10:52:23.828530
0.84,0.69,0.06,2018-12-11 10:52:23.850333
0.66,0.69,0.09,2018-12-11 10:52:23.872241
0.6,0.71,0.12,2018-12-11 10:52:23.894279
0.47,0.7,0.04,2018-12-11 10:52:23.916453
0.56,0.88,0.02,2018-12-11 10:52:23.937622
0.52,0.81,0.01,2018-12-11 10:52:23.958616
0.54,0.82,0.11,2018-12-11 10:52:23.979689
0.59,0.74,0.06,2018-12-11 10:52:24.000178
0.63,0.6,0.07,2018-12-11 10:52:24.022086
0.72,0.41,0.24,2018-12-11 10:52:24.044114
0.89,0.24,0.39,2018-12-11 10:52:24.065852
0.99,0.06,0.46,2018-12-11 10:52:24.087603
1.85,0.12,0.63,2018-12-11 10:52:24.109332
2.72,0.36,0.5,2018-12-11 10:52:24.131308
1.54,0.74,0.21,2018-12-11 10:52:24.152988
0.14,0.89,0.53,2018-12-11 10:52:24.174655
1.29,0.07,1.51,2018-12-11 10:52:24.196476
1.8,1.15,1.45,2018-12-11 10:52:24.218802
3.0,1.2,0.03,2018-12-11 10:52:24.240561
3.9,1.57,0.57,2018-12-11 10:52:24.262384
3.13,0.35,0.24,2018-12-11 10:52:24.284150
1.82,1.11,0.46,2018-12-11 10:52:24.305894
0.98,1.05,0.55,2018-12-11 10:52:24.328152
0.55,0.71,0.42,2018-12-11 10:52:24.350027
0.06,0.51,0.21,2018-12-11 10:52:24.371933
0.24,0.29,0.04,2018-12-11 10:52:24.394159
0.68,0.34,0.12,2018-12-11 10:52:24.415741
0.74,0.51,0.09,2018-12-11 10:52:24.437256
0.55,0.64,0.07,2018-12-11 10:52:24.458612
0.52,0.72,0.05,2018-12-11 10:52:24.480055
0.64,0.68,0.04,2018-12-11 10:52:24.501478
0.85,0.64,0.04,2018-12-11 10:52:24.523801
0.95,0.7,0.03,2018-12-11 10:52:24.545409
0.93,0.63,0.1,2018-12-11 10:52:24.567123
0.84,0.64,0.08,2018-12-11 10:52:24.588498
0.75,0.67,0.04,2018-12-11 10:52:24.610364
0.72,0.62,0.03,2018-12-11 10:52:24.632058
0.74,0.56,0.1,2018-12-11 10:52:24.653982
0.76,0.48,0.2,2018-12-11 10:52:24.675494
0.81,0.48,0.26,2018-12-11 10:52:24.697271
0.91,0.51,0.2,2018-12-11 10:52:24.718798
0.95,0.52,0.19,2018-12-11 10:52:24.740553
1.01,0.36,0.15,2018-12-11 10:52:24.762191
1.22,0.25,0.29,2018-12-11 10:52:24.783936
1.49,0.01,0.44,2018-12-11 10:52:24.807612
1.71,0.15,0.44,2018-12-11 10:52:24.829229
1.44,0.45,0.21,2018-12-11 10:52:24.851127
0.64,0.51,0.39,2018-12-11 10:52:24.872766
0.89,0.14,1.66,2018-12-11 10:52:24.894706
1.21,0.61,1.57,2018-12-11 10:52:24.916215
2.38,0.55,0.13,2018-12-11 10:52:24.937715
3.82,1.65,0.83,2018-12-11 10:52:24.959466
3.46,1.16,0.38,2018-12-11 10:52:24.980565
2.5,0.12,0.0,2018-12-11 10:52:25.002505
1.7,0.7,0.43,2018-12-11 10:52:25.024398
1.13,0.7,0.44,2018-12-11 10:52:25.046147
0.71,0.5,0.41,2018-12-11 10:52:25.067673
0.09,0.45,0.25,2018-12-11 10:52:25.089290
0.23,0.29,0.18,2018-12-11 10:52:25.111103
0.61,0.3,0.06,2018-12-11 10:52:25.133607
0.8,0.43,0.05,2018-12-11 10:52:25.155277
0.81,0.62,0.03,2018-12-11 10:52:25.177012
0.69,0.69,0.0,2018-12-11 10:52:25.198530
0.75,0.68,0.06,2018-12-11 10:52:25.220103
0.9,0.7,0.05,2018-12-11 10:52:25.241756
0.87,0.65,0.09,2018-12-11 10:52:25.269596
0.77,0.64,0.08,2018-12-11 10:52:25.291581
0.66,0.63,0.04,2018-12-11 10:52:25.313698
0.59,0.7,0.01,2018-12-11 10:52:25.335487
0.55,0.73,0.03,2018-12-11 10:52:25.357230
0.6,0.69,0.02,2018-12-11 10:52:25.378771
0.68,0.71,0.04,2018-12-11 10:52:25.400541
0.76,0.67,0.07,2018-12-11 10:52:25.422415
0.82,0.54,0.1,2018-12-11 10:52:25.444874
0.9,0.36,0.18,2018-12-11 10:52:25.466643
1.01,0.3,0.34,2018-12-11 10:52:25.488106
1.21,0.22,0.4,2018-12-11 10:52:25.509920
1.63,0.29,0.29,2018-12-11 10:52:25.531860
1.72,0.31,0.12,2018-12-11 10:52:25.553984
1.4,0.04,0.15,2018-12-11 10:52:25.575741
0.64,0.44,0.01,2018-12-11 10:52:25.597243
0.41,0.56,0.72,2018-12-11 10:52:25.619035
1.51,0.26,1.2,2018-12-11 10:52:25.640972
2.0,0.14,0.37,2018-12-11 10:52:25.663853
2.97,1.12,0.29,2018-12-11 10:52:25.684714
3.2,1.11,0.42,2018-12-11 10:52:25.705813
2.5,0.16,0.12,2018-12-11 10:52:25.730455
1.91,0.35,0.46,2018-12-11 10:52:25.751652
1.67,0.9,0.69,2018-12-11 10:52:25.772369
0.98,0.84,0.56,2018-12-11 10:52:25.793524
0.62,0.52,0.44,2018-12-11 10:52:25.814272
0.1,0.4,0.27,2018-12-11 10:52:25.834966
0.24,0.2,0.13,2018-12-11 10:52:25.855484
0.73,0.16,0.02,2018-12-11 10:52:25.876115
0.88,0.45,0.02,2018-12-11 10:52:25.896778
0.82,0.69,0.1,2018-12-11 10:52:25.919069
0.77,0.77,0.07,2018-12-11 10:52:25.940775
0.65,0.7,0.06,2018-12-11 10:52:25.962604
0.74,0.7,0.01,2018-12-11 10:52:25.984387
0.86,0.68,0.04,2018-12-11 10:52:26.005900
0.86,0.7,0.01,2018-12-11 10:52:26.027630
0.78,0.73,0.01,2018-12-11 10:52:26.049394
0.63,0.75,0.06,2018-12-11 10:52:26.071112
0.59,0.76,0.07,2018-12-11 10:52:26.093079
0.57,0.73,0.03,2018-12-11 10:52:26.114383
0.59,0.74,0.03,2018-12-11 10:52:26.137232
0.62,0.79,0.08,2018-12-11 10:52:26.158808
0.66,0.73,0.04,2018-12-11 10:52:26.180581
0.7,0.62,0.06,2018-12-11 10:52:26.202246
0.76,0.56,0.11,2018-12-11 10:52:26.224313
0.81,0.51,0.11,2018-12-11 10:52:26.245774
0.86,0.43,0.12,2018-12-11 10:52:26.267263
0.89,0.3,0.31,2018-12-11 10:52:26.288859
1.44,0.29,0.35,2018-12-11 10:52:26.310348
2.01,0.19,0.45,2018-12-11 10:52:26.332242
1.99,0.26,0.38,2018-12-11 10:52:26.354802
1.14,0.8,0.06,2018-12-11 10:52:26.376416
0.0,1.22,0.72,2018-12-11 10:52:26.398040
2.18,0.22,2.04,2018-12-11 10:52:26.419558
2.49,1.11,1.25,2018-12-11 10:52:26.441301
3.89,1.09,0.21,2018-12-11 10:52:26.463060
3.42,0.99,0.44,2018-12-11 10:52:26.484732
2.47,0.49,0.18,2018-12-11 10:52:26.506512
1.51,0.76,0.43,2018-12-11 10:52:26.528290
1.24,0.93,0.68,2018-12-11 10:52:26.550083
0.7,0.76,0.59,2018-12-11 10:52:26.571902
0.35,0.41,0.34,2018-12-11 10:52:26.594090
0.22,0.15,0.2,2018-12-11 10:52:26.615809
0.62,0.1,0.05,2018-12-11 10:52:26.637251
0.78,0.19,0.03,2018-12-11 10:52:26.658828
1.1,0.42,0.04,2018-12-11 10:52:26.680507
1.19,0.65,0.01,2018-12-11 10:52:26.701956
1.02,0.77,0.13,2018-12-11 10:52:26.723443
0.91,0.83,0.18,2018-12-11 10:52:26.745244
0.91,0.71,0.03,2018-12-11 10:52:26.773049
0.89,0.55,0.06,2018-12-11 10:52:26.794761
0.74,0.52,0.09,2018-12-11 10:52:26.816379
0.63,0.63,0.05,2018-12-11 10:52:26.838238
0.52,0.69,0.01,2018-12-11 10:52:26.859943
0.51,0.8,0.03,2018-12-11 10:52:26.881583
0.53,0.83,0.05,2018-12-11 10:52:26.903555
0.54,0.94,0.12,2018-12-11 10:52:26.925402
0.53,0.95,0.13,2018-12-11 10:52:26.947167
0.58,0.84,0.02,2018-12-11 10:52:26.968835
0.6,0.66,0.04,2018-12-11 10:52:26.990410
0.67,0.56,0.1,2018-12-11 10:52:27.012059
0.77,0.41,0.18,2018-12-11 10:52:27.034153
0.96,0.35,0.19,2018-12-11 10:52:27.055754
1.93,0.14,0.21,2018-12-11 10:52:27.077550
2.2,0.11,0.31,2018-12-11 10:52:27.098533
2.04,0.34,0.43,2018-12-11 10:52:27.121401
1.67,0.94,0.36,2018-12-11 10:52:27.142674
0.25,1.07,0.97,2018-12-11 10:52:27.163703
1.44,0.1,1.77,2018-12-11 10:52:27.185702
2.92,0.48,1.06,2018-12-11 10:52:27.207286
5.07,1.29,0.46,2018-12-11 10:52:27.229053
4.11,0.69,0.48,2018-12-11 10:52:27.250794
2.08,0.19,0.0,2018-12-11 10:52:27.272449
0.99,0.59,0.36,2018-12-11 10:52:27.295904
0.58,0.63,0.48,2018-12-11 10:52:27.317628
0.2,0.52,0.34,2018-12-11 10:52:27.339171
0.67,0.22,0.16,2018-12-11 10:52:27.360297
1.05,0.29,0.11,2018-12-11 10:52:27.382671
1.0,0.43,0.11,2018-12-11 10:52:27.404723
0.76,0.5,0.04,2018-12-11 10:52:27.426519
0.7,0.73,0.01,2018-12-11 10:52:27.448028
0.87,0.76,0.08,2018-12-11 10:52:27.469588
0.94,0.79,0.06,2018-12-11 10:52:27.491249
0.91,0.75,0.03,2018-12-11 10:52:27.513637
0.74,0.74,0.06,2018-12-11 10:52:27.535132
0.62,0.72,0.04,2018-12-11 10:52:27.556857
0.5,0.78,0.03,2018-12-11 10:52:27.578588
0.49,0.82,0.06,2018-12-11 10:52:27.600134
0.56,0.85,0.06,2018-12-11 10:52:27.622038
0.58,0.85,0.05,2018-12-11 10:52:27.644170
0.6,0.88,0.03,2018-12-11 10:52:27.665669
0.58,0.85,0.04,2018-12-11 10:52:27.687227
0.6,0.86,0.07,2018-12-11 10:52:27.708933
0.61,0.81,0.04,2018-12-11 10:52:27.730843
0.68,0.63,0.1,2018-12-11 10:52:27.752684
0.67,0.47,0.13,2018-12-11 10:52:27.774756
0.79,0.37,0.29,2018-12-11 10:52:27.796370
0.8,0.12,0.29,2018-12-11 10:52:27.818164
1.27,0.07,0.46,2018-12-11 10:52:27.839585
2.05,0.07,0.53,2018-12-11 10:52:27.861326
2.27,0.19,0.41,2018-12-11 10:52:27.883186
1.11,0.38,0.31,2018-12-11 10:52:27.905123
0.29,0.64,0.6,2018-12-11 10:52:27.926902
1.49,0.38,2.16,2018-12-11 10:52:27.948670
2.18,0.2,1.27,2018-12-11 10:52:27.970403
4.42,1.69,0.58,2018-12-11 10:52:27.992140
3.81,0.35,0.21,2018-12-11 10:52:28.014089
2.03,0.46,0.13,2018-12-11 10:52:28.036003
0.78,0.82,0.35,2018-12-11 10:52:28.057800
0.42,0.85,0.44,2018-12-11 10:52:28.079541
0.28,0.69,0.37,2018-12-11 10:52:28.100686
0.51,0.59,0.2,2018-12-11 10:52:28.122855
0.54,0.64,0.02,2018-12-11 10:52:28.144816
0.52,0.61,0.04,2018-12-11 10:52:28.166352
0.66,0.71,0.05,2018-12-11 10:52:28.188255
0.67,0.81,0.06,2018-12-11 10:52:28.210045
0.56,0.98,0.12,2018-12-11 10:52:28.231115
0.44,0.97,0.08,2018-12-11 10:52:28.256038
0.48,0.89,0.06,2018-12-11 10:52:28.282664
0.47,0.89,0.03,2018-12-11 10:52:28.304718
0.42,0.86,0.03,2018-12-11 10:52:28.326202
0.47,0.9,0.03,2018-12-11 10:52:28.347984
0.48,0.85,0.03,2018-12-11 10:52:28.369560
0.46,0.84,0.01,2018-12-11 10:52:28.391341
0.48,0.83,0.01,2018-12-11 10:52:28.413197
0.49,0.84,0.04,2018-12-11 10:52:28.434879
0.59,0.84,0.05,2018-12-11 10:52:28.456520
0.61,0.73,0.0,2018-12-11 10:52:28.478245
0.61,0.65,0.06,2018-12-11 10:52:28.500176
0.63,0.59,0.12,2018-12-11 10:52:28.522809
0.68,0.49,0.15,2018-12-11 10:52:28.544821
0.76,0.35,0.16,2018-12-11 10:52:28.566370
0.81,0.09,0.19,2018-12-11 10:52:28.588003
1.09,0.14,0.33,2018-12-11 10:52:28.609880
1.51,0.35,0.53,2018-12-11 10:52:28.631518
2.21,0.53,0.63,2018-12-11 10:52:28.653217
1.43,0.34,0.18,2018-12-11 10:52:28.675034
0.17,0.12,0.94,2018-12-11 10:52:28.696636
1.63,0.75,2.61,2018-12-11 10:52:28.718365
2.42,1.31,1.97,2018-12-11 10:52:28.739927
4.37,0.61,0.75,2018-12-11 10:52:28.761587
3.67,0.16,0.76,2018-12-11 10:52:28.782867
1.64,0.61,0.02,2018-12-11 10:52:28.804744
0.94,0.79,0.25,2018-12-11 10:52:28.827470
0.21,0.83,0.42,2018-12-11 10:52:28.849364
0.42,0.68,0.3,2018-12-11 10:52:28.870958
0.6,0.58,0.15,2018-12-11 10:52:28.892823
0.52,0.6,0.05,2018-12-11 10:52:28.914790
0.5,0.51,0.03,2018-12-11 10:52:28.936416
0.57,0.5,0.08,2018-12-11 10:52:28.957865
0.75,0.59,0.09,2018-12-11 10:52:28.979726
0.9,0.72,0.02,2018-12-11 10:52:29.001158
0.88,0.79,0.06,2018-12-11 10:52:29.023006
0.8,0.84,0.04,2018-12-11 10:52:29.044714
0.67,0.82,0.06,2018-12-11 10:52:29.066512
0.61,0.79,0.03,2018-12-11 10:52:29.088153
0.56,0.75,0.03,2018-12-11 10:52:29.109245
0.54,0.68,0.08,2018-12-11 10:52:29.132178
0.49,0.86,0.01,2018-12-11 10:52:29.154312
0.52,0.92,0.08,2018-12-11 10:52:29.175883
0.54,0.92,0.09,2018-12-11 10:52:29.197297
0.59,0.95,0.07,2018-12-11 10:52:29.219170
0.57,0.82,0.01,2018-12-11 10:52:29.240703
0.51,0.81,0.05,2018-12-11 10:52:29.262337
0.52,0.79,0.03,2018-12-11 10:52:29.284403
